feature_name,feature_family,family,feature_source,operator_name,operator_type,is_true_curve_feature,is_proxy_feature,uses_raw_cycles_interpolated,uses_summary,uses_protocol,cycle_indices,step_type,x_axis,y_signal,aggregation,transform,description,program_id,cycle_index_convention
discharge_capacity_cycle_0,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,discharge_capacity,last,,,minimal_debug,raw_zero_based
discharge_capacity_cycle_1,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,discharge_capacity,last,,,minimal_debug,raw_zero_based
discharge_capacity_cycle_9,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,discharge_capacity,last,,,minimal_debug,raw_zero_based
discharge_capacity_difference_cycle_9_minus_0,capacity_summary_delta,capacity_summary_delta,summary_or_raw_cycle_mean,cross_cycle_scalar_delta,cross_cycle_scalar_delta,False,False,False,True,False,"0,9",,,discharge_capacity,difference,difference,,minimal_debug,raw_zero_based
discharge_capacity_log_abs_difference_cycle_9_minus_0,capacity_summary_delta,capacity_summary_delta,summary_or_raw_cycle_mean,cross_cycle_scalar_delta,cross_cycle_scalar_delta,False,False,False,True,False,"0,9",,,discharge_capacity,log_abs_difference,log_abs_difference,,minimal_debug,raw_zero_based
