C1,C2,C3,C4,upper_bound,lower_bound,mean_bound
7.0,6.0,5.2,3.017,426.36199999999997,93.31370000000004,259.83785
7.0,7.0,4.8,2.947,262.97749999999996,19.440699999999993,141.20909999999998
5.2,7.0,5.2,3.269,257.16200000000003,29.14390000000003,143.15295000000003
6.0,6.0,4.8,3.429,239.20770000000005,-13.477300000000014,112.86520000000002
6.0,5.6,3.6,4.755,537.2818,226.46929999999998,381.87555
7.0,4.8,4.8,3.652,99.33860000000004,-129.4607000000001,-15.061050000000023
7.0,5.2,5.6,3.129,350.5887,111.65689999999995,231.12279999999998
8.0,5.6,4.8,3.111,387.14520000000005,89.19090000000006,238.16805000000005
4.0,5.6,5.6,4.421,142.77340000000004,-23.52729999999997,59.623050000000035
8.0,5.2,5.2,3.089,409.345,136.36879999999996,272.8569
6.0,7.0,4.4,3.372,333.6839,46.545600000000036,190.11475000000002
5.6,7.0,4.0,3.818,273.8084,27.264699999999948,150.53654999999998
8.0,4.4,5.6,3.306,541.1415999999999,213.83989999999994,377.49074999999993
7.0,4.4,4.0,4.69,382.6027,104.64120000000003,243.62195000000003
6.0,7.0,5.6,2.897,496.1798,189.28380000000004,342.7318
6.0,7.0,3.6,4.065,412.17240000000004,158.40549999999996,285.28895
6.0,6.0,4.0,4.0,269.15009999999995,3.203399999999988,136.17674999999997
4.0,7.0,4.8,4.308,223.48889999999994,12.157100000000014,117.82299999999998
7.0,6.0,4.4,3.372,250.53139999999996,-10.241399999999999,120.14499999999998
8.0,6.0,3.6,3.789,376.9557,92.55730000000005,234.75650000000002
6.0,5.6,4.8,3.574,220.13610000000006,-18.84209999999996,100.64700000000005
4.8,5.6,4.8,4.2,71.3655,-74.20270000000005,-1.4186000000000263
6.0,7.0,4.8,3.17,382.66769999999997,66.21479999999997,224.44124999999997
8.0,4.0,4.4,4.328,335.53999999999996,49.903099999999995,192.72154999999998
6.0,4.8,5.6,3.574,370.2595,42.67269999999996,206.46609999999998
5.6,5.2,4.0,4.707,482.6421,177.4063,330.0242
6.0,6.0,4.4,3.667,208.83360000000005,-38.74879999999996,85.04240000000004
5.6,6.0,3.6,4.755,485.8382,173.8111,329.82465
5.6,5.6,5.6,3.36,302.57439999999997,67.79380000000003,185.1841
4.4,5.2,5.6,4.252,124.87869999999998,-25.507799999999975,49.68545
6.0,3.6,5.6,4.755,557.4208,247.1667,402.29375
5.6,4.8,4.8,4.2,216.9139,-27.0702,94.92185
4.8,6.0,5.6,3.574,144.54229999999995,-25.555600000000027,59.493349999999964
8.0,4.8,4.0,4.0,279.92280000000005,25.572000000000003,152.74740000000003
7.0,4.4,4.4,4.239,186.14829999999995,-56.777900000000045,64.68519999999995
5.6,5.6,5.2,3.523,168.59939999999995,-36.78430000000003,65.90754999999996
5.2,4.8,5.6,3.935,307.74,23.421500000000037,165.58075000000002
7.0,7.0,5.2,2.814,246.70439999999996,26.61990000000003,136.66215
5.2,4.4,5.6,4.252,383.02610000000004,87.07270000000005,235.04940000000005
6.0,5.2,4.4,4.047,282.8134,21.925500000000056,152.36945000000003
8.0,5.2,4.4,3.463,196.6205,-22.16470000000004,87.22789999999998
4.0,7.0,4.4,4.69,277.0938,64.02520000000004,170.5595
7.0,4.8,4.0,4.308,316.0313,49.20799999999997,182.61964999999998
4.8,4.4,5.6,4.563,475.1326,166.9851,321.05885
5.6,5.6,4.8,3.733,130.82730000000004,-61.40840000000003,34.709450000000004
8.0,5.6,5.6,2.847,704.0357,336.2853,520.1605
5.6,5.2,5.6,3.523,330.591,46.48929999999996,188.54014999999998
4.4,5.6,5.6,4.017,66.57770000000005,-74.22680000000003,-3.824549999999988
4.8,5.6,5.6,3.733,101.57989999999995,-48.608799999999974,26.48554999999999
7.0,4.8,5.2,3.45,116.31949999999995,-79.22980000000007,18.54484999999994
7.0,5.2,3.6,4.537,470.3628,155.4121,312.88745
8.0,5.2,3.6,4.197,398.68240000000003,132.65250000000003,265.66745000000003
4.4,5.6,4.8,4.563,137.6404,-26.655099999999948,55.492650000000026
4.8,7.0,5.6,3.294,385.55219999999997,105.78009999999995,245.66614999999996
4.8,7.0,4.0,4.308,231.9389,27.429499999999962,129.68419999999998
6.0,4.8,5.2,3.759,214.53160000000003,-74.20550000000003,70.16305
4.0,6.0,5.6,4.2,137.1653,-23.29129999999998,56.93700000000001
7.0,5.6,4.4,3.513,224.10810000000004,-34.46119999999996,94.82345000000004
5.2,6.0,4.4,4.047,102.84910000000002,-79.05600000000004,11.89654999999999
8.0,5.2,5.6,2.963,612.3832,281.327,446.8551
5.6,4.8,5.6,3.733,340.1576,28.08439999999996,184.12099999999998
4.8,4.8,5.6,4.2,284.94309999999996,43.69489999999996,164.31899999999996
6.0,7.0,5.2,3.017,415.73990000000003,103.70630000000006,259.72310000000004
7.0,4.4,5.2,3.691,118.10919999999999,-79.13249999999994,19.488350000000025
6.0,5.2,4.0,4.457,435.8908,146.21720000000005,291.05400000000003
8.0,7.0,3.6,3.476,415.5385,163.1114,289.32495
4.8,7.0,4.4,3.924,93.71140000000003,-62.91880000000003,15.396299999999997
8.0,4.8,5.6,3.111,543.3646,230.47900000000004,386.9218
3.6,7.0,5.2,4.537,489.1399,188.8909,339.0154
8.0,4.0,4.8,4.0,309.2242,15.325399999999945,162.27479999999997
3.6,7.0,5.6,4.271,567.893,257.64390000000003,412.76845000000003
8.0,4.0,5.6,3.574,574.7158999999999,245.19719999999995,409.95654999999994
8.0,4.4,4.4,3.94,238.13160000000005,-27.357099999999946,105.38725000000005
8.0,3.6,5.6,3.969,650.5986,327.385,488.9918
6.0,4.4,5.6,3.834,321.87070000000006,27.70399999999995,174.78735
4.0,7.0,5.2,4.03,271.0372,34.76660000000004,152.9019
6.0,6.0,3.6,4.5,459.518,144.07849999999996,301.79824999999994
5.6,7.0,5.2,3.129,337.59670000000006,70.73249999999996,204.1646
5.2,4.0,5.6,4.707,495.7513,199.46550000000002,347.6084
8.0,3.6,4.8,4.5,456.2657,153.64049999999997,304.95309999999995
5.6,5.6,4.0,4.421,334.31820000000005,84.54390000000001,209.43105000000003
4.4,7.0,4.0,4.69,284.0576,72.63589999999999,178.34675
7.0,3.6,5.6,4.271,642.2513,303.7128,472.98205
7.0,3.6,5.2,4.537,473.7891,180.9438,327.36645
4.8,6.0,4.0,4.8,317.36300000000006,79.327,198.34500000000003
5.2,5.2,4.8,4.16,159.32659999999998,-41.177599999999984,59.0745
4.4,6.0,4.8,4.328,64.42939999999999,-88.2840000000001,-11.92730000000006
4.8,5.6,4.4,4.563,217.58190000000002,31.234299999999962,124.40809999999999
4.4,7.0,5.6,3.513,366.12660000000005,97.45510000000002,231.79085000000003
6.0,4.8,4.4,4.328,343.11220000000003,54.97860000000003,199.04540000000003
5.2,5.2,5.6,3.702,233.4819,-3.457899999999995,115.012
6.0,7.0,4.0,3.652,308.93280000000004,64.80539999999996,186.8691
4.8,6.0,4.8,4.0,33.65779999999995,-120.79430000000002,-43.568250000000035
7.0,4.4,4.8,3.924,86.95519999999999,-128.06040000000007,-20.55260000000004
8.0,4.8,4.4,3.667,187.9669,-42.94399999999996,72.51145000000002
4.4,6.0,5.6,3.834,103.93060000000003,-58.356199999999944,22.78720000000004
4.4,6.0,4.4,4.714,205.40890000000002,9.44259999999997,107.42575
7.0,5.6,5.2,3.129,358.7595,66.88160000000005,212.82055000000003
8.0,4.8,4.8,3.429,208.34580000000005,-24.0394,92.15320000000003
6.0,4.0,5.6,4.2,360.1079,95.42409999999995,227.76599999999996
7.0,5.2,5.2,3.269,214.582,-11.68259999999998,101.4497
4.0,5.6,5.2,4.707,145.1753,-36.39580000000001,54.38974999999999
8.0,4.0,5.2,3.759,380.09860000000003,89.54520000000002,234.82190000000003
5.6,4.8,5.2,3.935,198.45899999999995,-71.00080000000003,63.72909999999996
5.6,4.8,4.4,4.563,390.30039999999997,103.8098,247.05509999999998
7.0,4.0,5.2,4.03,235.27470000000005,14.481499999999983,124.87810000000002
5.6,5.2,4.8,3.935,181.89070000000004,-50.62729999999999,65.63170000000002
4.0,5.2,5.6,4.707,248.27059999999994,48.170600000000036,148.2206
7.0,7.0,5.6,2.71,364.6865,115.56619999999998,240.12635
7.0,4.0,4.4,4.69,288.18330000000003,47.627399999999966,167.90535
7.0,5.2,4.0,4.03,277.9847,2.4985000000000355,140.2416
5.2,6.0,5.2,3.545,83.43619999999999,-80.64709999999991,1.394550000000038
7.0,5.6,4.0,3.818,250.19280000000003,-17.998100000000022,116.09735
6.0,4.0,5.2,4.457,194.62900000000002,-10.062800000000038,92.28309999999999
8.0,5.6,3.6,3.969,352.04499999999996,110.54219999999998,231.29359999999997
7.0,4.8,5.6,3.294,276.94640000000004,59.97220000000004,168.45930000000004
7.0,4.0,5.6,3.818,448.7241,158.59490000000005,303.65950000000004
6.0,6.0,5.6,3.111,446.2767,144.44299999999998,295.35985
5.2,6.0,5.6,3.381,208.56410000000005,19.453700000000026,114.00890000000004
7.0,6.0,4.0,3.652,248.08799999999997,-8.691000000000031,119.69849999999997
4.4,7.0,4.4,4.239,116.57100000000003,-48.03610000000003,34.26745
8.0,6.0,5.2,2.862,564.4386,202.42909999999995,383.43384999999995
4.4,6.0,5.2,4.047,17.7269,-125.05060000000003,-53.661850000000015
7.0,7.0,3.6,3.706,568.1874,208.96349999999995,388.57545
6.0,5.6,5.6,3.231,425.90110000000004,131.15779999999995,278.52945
5.2,5.6,5.6,3.523,189.3827,1.1444999999999936,95.2636
4.8,7.0,4.8,3.652,102.05269999999996,-66.86839999999995,17.592150000000004
5.6,5.2,5.2,3.702,195.9149,-57.90300000000002,69.00594999999998
5.2,6.0,4.0,4.457,260.50390000000004,32.395399999999995,146.44965000000002
6.0,5.6,4.4,3.834,214.09019999999998,-4.9751999999999725,104.5575
4.4,7.0,5.2,3.691,191.98249999999996,-25.660799999999995,83.16084999999998
5.2,4.8,4.8,4.457,272.2655,26.009599999999978,149.13754999999998
5.6,7.0,4.4,3.513,253.12070000000006,2.207499999999982,127.66410000000002
5.2,4.4,5.2,4.516,295.9262,23.675500000000056,159.80085000000003
8.0,4.8,3.6,4.5,492.4046,178.28740000000005,335.346
8.0,7.0,4.0,3.17,276.52919999999995,56.57569999999998,166.55244999999996
7.0,5.6,5.6,3.0,490.9267,181.3052,336.11595
5.6,6.0,4.8,3.574,127.3012,-67.12850000000003,30.08634999999998
8.0,5.2,4.8,3.25,267.0226,30.807699999999954,148.91514999999998
5.2,5.6,5.2,3.702,75.84590000000003,-91.60760000000005,-7.8808500000000095
4.0,7.0,5.6,3.818,403.56629999999996,140.54970000000003,272.058
4.8,5.2,5.2,4.16,83.49279999999999,-78.59449999999993,2.4491500000000315
5.2,5.2,5.2,3.9,125.10820000000001,-82.35770000000002,21.375249999999994
4.8,7.0,5.2,3.45,205.48590000000002,-9.963399999999979,97.76125000000002
5.2,5.6,4.0,4.707,375.304,118.06280000000004,246.6834
4.4,5.2,5.2,4.516,121.57100000000003,-45.79759999999999,37.88670000000002
5.2,7.0,5.6,3.129,402.0893,131.39049999999997,266.7399
7.0,5.6,4.8,3.294,273.22810000000004,4.090199999999982,138.65915
8.0,7.0,5.2,2.68,256.08770000000004,38.37459999999999,147.23115
8.0,6.0,4.0,3.429,284.9131,5.4249999999999545,145.16904999999997
6.0,4.8,4.8,4.0,206.06320000000005,-56.643100000000004,74.71005000000002
4.8,5.2,4.8,4.457,183.40570000000002,-1.3441000000000258,91.0308
8.0,5.6,4.4,3.306,272.5942,11.060600000000022,141.8274
5.6,7.0,5.6,3.0,436.4879,165.13199999999995,300.80994999999996
7.0,7.0,4.0,3.36,438.4804,100.44129999999996,269.46084999999994
5.6,4.4,5.2,4.252,175.6196,-53.29769999999996,61.160950000000014
5.6,4.4,4.8,4.563,232.96429999999998,12.603899999999953,122.78409999999997
4.0,6.0,5.2,4.457,93.04380000000003,-62.581300000000056,15.231249999999989
8.0,4.4,4.8,3.667,234.7006,-41.79880000000003,96.45089999999999
8.0,7.0,5.6,2.585,394.87829999999997,145.3093,270.0938
5.2,7.0,4.0,4.03,251.91819999999996,15.702499999999986,133.81034999999997
6.0,4.8,4.0,4.8,560.2812,223.50549999999998,391.89335
6.0,5.6,5.2,3.381,289.7268,21.89300000000003,155.80990000000003
6.0,5.2,5.2,3.545,269.00969999999995,-23.841300000000047,122.58419999999995
5.6,4.4,5.6,4.017,319.3396,39.70749999999998,179.52355
6.0,5.2,4.8,3.759,227.77459999999996,-39.07129999999995,94.35165
5.2,5.6,4.4,4.252,176.7373,-19.040100000000052,78.84859999999998
8.0,3.6,5.2,4.197,487.877,205.68859999999995,346.78279999999995
4.8,4.8,5.2,4.457,244.3311,8.944299999999998,126.6377
7.0,6.0,3.6,4.065,367.9361,96.72699999999998,232.33155
8.0,4.0,4.0,4.8,448.5965,171.70460000000003,310.15055
4.8,5.2,5.6,3.935,144.65660000000003,-32.15750000000003,56.24955
8.0,5.6,4.0,3.574,233.14139999999998,11.03060000000005,122.08600000000001
5.6,6.0,4.4,3.834,140.70590000000004,-69.96339999999998,35.37125000000003
