C1,C2,C3,C4,upper_bound,lower_bound,mean_bound
4.8,5.6,5.2,3.935,19.606199999999944,-117.03240000000005,-48.713100000000054
6.0,4.4,4.8,4.328,167.75850000000003,-45.85910000000001,60.94970000000001
5.6,7.0,4.8,3.294,291.67409999999995,24.53589999999997,158.10499999999996
7.0,5.2,4.8,3.45,173.40859999999998,-65.5018,53.95339999999999
5.6,5.2,4.4,4.252,286.66999999999996,32.043499999999995,159.35674999999998
8.0,7.0,4.8,2.8,219.2731,4.15930000000003,111.71620000000001
5.6,6.0,5.2,3.381,174.88599999999997,-21.296799999999962,76.7946
3.6,6.0,5.6,4.755,329.84849999999994,110.15610000000004,220.0023
6.0,4.4,5.2,4.047,146.58910000000003,-87.83989999999994,29.374600000000044
7.0,5.2,4.4,3.691,190.09320000000002,-66.28549999999996,61.903850000000034
5.2,7.0,4.4,3.691,160.98720000000003,-34.65700000000004,63.165099999999995
5.6,4.0,5.6,4.421,365.47839999999997,121.80690000000004,243.64265
5.2,6.0,4.8,3.759,58.81219999999996,-111.73299999999995,-26.460399999999993
4.0,6.0,4.8,4.8,201.72260000000006,7.602499999999964,104.66255000000001
5.6,5.6,4.4,4.017,179.30830000000003,-24.97550000000001,77.16640000000001
8.0,4.4,5.2,3.463,332.2885,47.05560000000003,189.67205
8.0,6.0,5.6,2.754,706.6734,327.44460000000004,517.059
8.0,4.8,5.2,3.25,327.33979999999997,73.68920000000003,200.5145
6.0,6.0,5.2,3.25,313.47569999999996,42.56179999999995,178.01874999999995
8.0,6.0,4.4,3.181,333.5309,22.29830000000004,177.9146
5.2,5.6,4.8,3.935,79.34760000000006,-88.86629999999991,-4.759349999999927
5.2,4.8,5.2,4.16,207.1526,-44.988899999999944,81.08185000000003
6.0,5.6,4.0,4.2,316.8559,73.5983,195.2271
4.4,7.0,4.8,3.924,100.66210000000001,-76.35649999999998,12.152800000000013
5.6,4.0,5.2,4.707,243.97360000000003,37.625999999999976,140.7998
7.0,7.0,4.4,3.122,343.39649999999995,46.87310000000002,195.13479999999998
5.2,7.0,3.6,4.537,469.6769,164.07979999999998,316.87834999999995
4.8,6.0,4.4,4.328,115.24850000000004,-54.82050000000004,30.214
4.4,5.6,5.2,4.252,25.259400000000028,-111.74990000000003,-43.24525
7.0,4.0,4.8,4.308,182.44370000000004,-25.765899999999988,78.33890000000002
5.6,7.0,3.6,4.271,425.0774,142.52729999999997,283.80235
8.0,7.0,4.4,2.957,228.12149999999997,12.022199999999998,120.07184999999998
7.0,4.8,4.4,3.924,168.7772,-82.25710000000004,43.26004999999998
6.0,4.0,4.8,4.8,243.1956,31.26310000000001,137.22935
5.6,6.0,4.0,4.2,252.3596,5.719900000000052,129.03975000000003
6.0,5.2,5.6,3.381,407.995,90.6191,249.30705
8.0,4.4,4.0,4.328,350.23,78.02819999999997,214.1291
5.6,6.0,5.6,3.231,309.967,77.30700000000002,193.637
6.0,4.4,4.4,4.714,378.3478,100.9932,239.6705
4.8,6.0,5.2,3.759,34.02729999999997,-116.82500000000005,-41.39885000000004
7.0,6.0,4.8,3.17,324.9208,31.373000000000047,178.14690000000002
4.4,4.8,5.6,4.563,313.42740000000003,96.59079999999994,205.0091
7.0,5.6,3.6,4.271,396.79740000000004,104.83050000000003,250.81395000000003
8.0,5.2,4.0,3.759,224.9194,8.752500000000055,116.83595000000003
8.0,6.0,4.8,3.0,441.5204,100.68510000000003,271.10275
8.0,5.6,5.2,2.963,533.6992,201.34109999999998,367.52015
5.2,7.0,4.8,3.45,179.68079999999998,-21.053800000000024,79.31349999999998
7.0,4.4,5.6,3.513,318.99249999999995,70.01089999999999,194.50169999999997
5.2,5.2,4.4,4.516,315.6988,66.64440000000002,191.1716
7.0,6.0,5.6,2.897,560.52,205.7255,383.12275
