C1,C2,C3,C4,upper_bound,lower_bound,mean_bound
4.8,5.6,5.2,3.935,1767.0,127.0,947.0
6.0,4.4,4.8,4.328,1767.0,127.0,947.0
5.6,7.0,4.8,3.294,1767.0,127.0,947.0
7.0,5.2,4.8,3.45,1767.0,127.0,947.0
5.6,5.2,4.4,4.252,1767.0,127.0,947.0
8.0,7.0,4.8,2.8,1767.0,127.0,947.0
5.6,6.0,5.2,3.381,1767.0,127.0,947.0
3.6,6.0,5.6,4.755,1767.0,127.0,947.0
6.0,4.4,5.2,4.047,1767.0,127.0,947.0
7.0,5.2,4.4,3.691,1767.0,127.0,947.0
5.2,7.0,4.4,3.691,1767.0,127.0,947.0
5.6,4.0,5.6,4.421,1767.0,127.0,947.0
5.2,6.0,4.8,3.759,1767.0,127.0,947.0
4.0,6.0,4.8,4.8,1767.0,127.0,947.0
5.6,5.6,4.4,4.017,1767.0,127.0,947.0
8.0,4.4,5.2,3.463,1767.0,127.0,947.0
8.0,6.0,5.6,2.754,1767.0,127.0,947.0
8.0,4.8,5.2,3.25,1767.0,127.0,947.0
6.0,6.0,5.2,3.25,1767.0,127.0,947.0
8.0,6.0,4.4,3.181,1767.0,127.0,947.0
5.2,5.6,4.8,3.935,1767.0,127.0,947.0
5.2,4.8,5.2,4.16,1767.0,127.0,947.0
6.0,5.6,4.0,4.2,1767.0,127.0,947.0
4.4,7.0,4.8,3.924,1767.0,127.0,947.0
5.6,4.0,5.2,4.707,1767.0,127.0,947.0
7.0,7.0,4.4,3.122,1767.0,127.0,947.0
5.2,7.0,3.6,4.537,1767.0,127.0,947.0
4.8,6.0,4.4,4.328,1767.0,127.0,947.0
4.4,5.6,5.2,4.252,1767.0,127.0,947.0
7.0,4.0,4.8,4.308,1767.0,127.0,947.0
5.6,7.0,3.6,4.271,1767.0,127.0,947.0
8.0,7.0,4.4,2.957,1767.0,127.0,947.0
7.0,4.8,4.4,3.924,1767.0,127.0,947.0
6.0,4.0,4.8,4.8,1767.0,127.0,947.0
5.6,6.0,4.0,4.2,1767.0,127.0,947.0
6.0,5.2,5.6,3.381,1767.0,127.0,947.0
8.0,4.4,4.0,4.328,1767.0,127.0,947.0
5.6,6.0,5.6,3.231,1767.0,127.0,947.0
6.0,4.4,4.4,4.714,1767.0,127.0,947.0
4.8,6.0,5.2,3.759,1767.0,127.0,947.0
7.0,6.0,4.8,3.17,1767.0,127.0,947.0
4.4,4.8,5.6,4.563,1767.0,127.0,947.0
7.0,5.6,3.6,4.271,1767.0,127.0,947.0
8.0,5.2,4.0,3.759,1767.0,127.0,947.0
8.0,6.0,4.8,3.0,1767.0,127.0,947.0
8.0,5.6,5.2,2.963,1767.0,127.0,947.0
5.2,7.0,4.8,3.45,1767.0,127.0,947.0
7.0,4.4,5.6,3.513,1767.0,127.0,947.0
5.2,5.2,4.4,4.516,1767.0,127.0,947.0
7.0,6.0,5.6,2.897,1767.0,127.0,947.0
7.0,6.0,5.2,3.017,1767.0,127.0,947.0
7.0,7.0,4.8,2.947,1767.0,127.0,947.0
5.2,7.0,5.2,3.269,1767.0,127.0,947.0
6.0,6.0,4.8,3.429,1767.0,127.0,947.0
6.0,5.6,3.6,4.755,1767.0,127.0,947.0
7.0,4.8,4.8,3.652,1767.0,127.0,947.0
7.0,5.2,5.6,3.129,1767.0,127.0,947.0
8.0,5.6,4.8,3.111,1767.0,127.0,947.0
4.0,5.6,5.6,4.421,1767.0,127.0,947.0
8.0,5.2,5.2,3.089,1767.0,127.0,947.0
6.0,7.0,4.4,3.372,1767.0,127.0,947.0
5.6,7.0,4.0,3.818,1767.0,127.0,947.0
8.0,4.4,5.6,3.306,1767.0,127.0,947.0
7.0,4.4,4.0,4.69,1767.0,127.0,947.0
6.0,7.0,5.6,2.897,1767.0,127.0,947.0
6.0,7.0,3.6,4.065,1767.0,127.0,947.0
6.0,6.0,4.0,4.0,1767.0,127.0,947.0
4.0,7.0,4.8,4.308,1767.0,127.0,947.0
7.0,6.0,4.4,3.372,1767.0,127.0,947.0
8.0,6.0,3.6,3.789,1767.0,127.0,947.0
6.0,5.6,4.8,3.574,1767.0,127.0,947.0
4.8,5.6,4.8,4.2,1767.0,127.0,947.0
6.0,7.0,4.8,3.17,1767.0,127.0,947.0
8.0,4.0,4.4,4.328,1767.0,127.0,947.0
6.0,4.8,5.6,3.574,1767.0,127.0,947.0
5.6,5.2,4.0,4.707,1767.0,127.0,947.0
6.0,6.0,4.4,3.667,1767.0,127.0,947.0
5.6,6.0,3.6,4.755,1767.0,127.0,947.0
5.6,5.6,5.6,3.36,1767.0,127.0,947.0
4.4,5.2,5.6,4.252,1767.0,127.0,947.0
6.0,3.6,5.6,4.755,1767.0,127.0,947.0
5.6,4.8,4.8,4.2,1767.0,127.0,947.0
