C1,C2,C3,C4,upper_bound,lower_bound,mean_bound
4.8,5.6,5.2,3.935,-16.241999999999962,-40.06970000000001,-28.155849999999987
6.0,4.4,4.8,4.328,75.6839,23.99649999999997,49.84019999999998
5.6,7.0,4.8,3.294,169.97450000000003,110.34770000000003,140.16110000000003
7.0,5.2,4.8,3.45,85.64750000000004,25.977899999999977,55.81270000000001
5.6,5.2,4.4,4.252,82.97320000000002,39.94460000000004,61.45890000000003
8.0,7.0,4.8,2.8,138.41099999999994,84.6327,111.52184999999997
5.6,6.0,5.2,3.381,96.44230000000005,52.76859999999999,74.60545000000002
3.6,6.0,5.6,4.755,151.49519999999995,110.45510000000002,130.97514999999999
6.0,4.4,5.2,4.047,50.18399999999997,-6.1778000000000475,22.00309999999996
7.0,5.2,4.4,3.691,95.94290000000001,31.902500000000032,63.92270000000002
5.2,7.0,4.4,3.691,80.27639999999997,35.93280000000004,58.104600000000005
5.6,4.0,5.6,4.421,236.15150000000006,177.69410000000005,206.92280000000005
5.2,6.0,4.8,3.759,3.858600000000024,-25.33510000000001,-10.738249999999994
4.0,6.0,4.8,4.8,81.44060000000002,46.18330000000003,63.811950000000024
5.6,5.6,4.4,4.017,40.83479999999997,2.5317000000000007,21.683249999999987
8.0,4.4,5.2,3.463,224.56820000000005,153.26120000000003,188.91470000000004
8.0,6.0,5.6,2.754,564.1176,469.3109,516.71425
8.0,4.8,5.2,3.25,231.65459999999996,168.24339999999995,199.94899999999996
6.0,6.0,5.2,3.25,215.1948,148.52430000000004,181.85955
8.0,6.0,4.4,3.181,215.8329,138.02679999999998,176.92985
5.2,5.6,4.8,3.935,-7.11990000000003,-33.27260000000001,-20.19625000000002
5.2,4.8,5.2,4.16,-2.4301000000000386,-35.82510000000002,-19.12760000000003
6.0,5.6,4.0,4.2,188.69989999999996,130.60389999999995,159.65189999999996
4.4,7.0,4.8,3.924,15.517500000000041,-25.69889999999998,-5.09069999999997
5.6,4.0,5.2,4.707,142.28380000000004,92.36540000000002,117.32460000000003
7.0,7.0,4.4,3.122,231.4384,157.30920000000003,194.37380000000002
5.2,7.0,3.6,4.537,356.4801,280.2486,318.36435
4.8,6.0,4.4,4.328,16.06759999999997,-13.222300000000018,1.422649999999976
4.4,5.6,5.2,4.252,-17.330600000000004,-41.11890000000005,-29.22475000000003
7.0,4.0,4.8,4.308,105.40509999999995,53.3664,79.38574999999997
5.6,7.0,3.6,4.271,320.793,250.2572,285.5251
8.0,7.0,4.4,2.957,146.92079999999999,92.89610000000005,119.90845000000002
7.0,4.8,4.4,3.924,74.82510000000002,12.101199999999949,43.463149999999985
6.0,4.0,4.8,4.8,172.26779999999997,119.47059999999999,145.86919999999998
5.6,6.0,4.0,4.2,127.17830000000004,70.86419999999998,99.02125000000001
6.0,5.2,5.6,3.381,256.66909999999996,183.37059999999997,220.01984999999996
8.0,4.4,4.0,4.328,248.14099999999996,180.091,214.11599999999999
5.6,6.0,5.6,3.231,182.49800000000005,129.98990000000003,156.24395000000004
6.0,4.4,4.4,4.714,248.29420000000005,181.16499999999996,214.7296
4.8,6.0,5.2,3.759,-6.809799999999996,-32.924499999999966,-19.86714999999998
7.0,6.0,4.8,3.17,218.66229999999996,145.3302,181.99624999999997
4.4,4.8,5.6,4.563,101.12819999999999,65.57449999999994,83.35134999999997
7.0,5.6,3.6,4.271,290.6491,217.6884,254.16875
8.0,5.2,4.0,3.759,143.8397,89.79819999999995,116.81894999999997
8.0,6.0,4.8,3.0,312.822,227.61479999999995,270.2184
8.0,5.6,5.2,2.963,408.55150000000003,325.46360000000004,367.00755000000004
5.2,7.0,4.8,3.45,71.43889999999999,31.831099999999992,51.63499999999999
7.0,4.4,5.6,3.513,226.69489999999996,164.45370000000003,195.5743
5.2,5.2,4.4,4.516,83.66930000000002,47.50350000000003,65.58640000000003
7.0,6.0,5.6,2.897,428.92060000000004,340.25800000000004,384.58930000000004
7.0,6.0,5.2,3.017,304.1142,220.90070000000003,262.50745
7.0,7.0,4.8,2.947,171.38459999999998,110.50279999999998,140.94369999999998
5.2,7.0,5.2,3.269,100.94860000000006,54.79679999999996,77.87270000000001
6.0,6.0,4.8,3.429,157.34000000000003,95.29240000000004,126.31620000000004
6.0,5.6,3.6,4.755,388.3333,312.1607,350.247
7.0,4.8,4.8,3.652,14.220900000000029,-42.94889999999998,-14.363999999999976
7.0,5.2,5.6,3.129,261.11199999999997,201.3877,231.24984999999998
8.0,5.6,4.8,3.111,274.7463,200.25940000000003,237.50285000000002
4.0,5.6,5.6,4.421,31.03340000000003,2.090400000000045,16.561900000000037
8.0,5.2,5.2,3.089,306.53279999999995,238.29070000000002,272.41175
6.0,7.0,4.4,3.372,222.8501,152.63689999999997,187.74349999999998
5.6,7.0,4.0,3.818,181.361,120.47360000000003,150.9173
8.0,4.4,5.6,3.306,417.79150000000004,335.967,376.87925
7.0,4.4,4.0,4.69,277.96900000000005,208.4846,243.22680000000003
6.0,7.0,5.6,2.897,373.01110000000006,296.65430000000003,334.83270000000005
6.0,7.0,3.6,4.065,318.51189999999997,255.09249999999997,286.80219999999997
6.0,6.0,4.0,4.0,164.39739999999995,99.08540000000005,131.7414
4.0,7.0,4.8,4.308,133.66690000000006,81.66300000000001,107.66495000000003
