C1,C2,C3,C4,upper_bound,lower_bound,mean_bound
4.4,5.6,5.2,4.252,311.81759999999997,-170.7041999999999,70.55670000000003
7.0,4.0,4.8,4.308,287.86749999999995,-128.55459999999994,79.65645
5.6,7.0,3.6,4.271,617.0017,22.43100000000004,319.71635000000003
8.0,7.0,4.4,2.957,1251.7096000000001,438.3546,845.0321000000001
7.0,4.8,4.4,3.924,288.0109,-214.1289999999999,36.94095000000004
6.0,4.0,4.8,4.8,346.69719999999995,-77.34539999999993,134.6759
5.6,6.0,4.0,4.2,372.17280000000005,-125.58619999999996,123.29330000000004
6.0,5.2,5.6,3.381,562.5351,-74.78880000000004,243.87315
8.0,4.4,4.0,4.328,484.8281,-59.58579999999995,212.62115000000003
5.6,6.0,5.6,3.231,493.1288,-34.66740000000004,229.23069999999998
6.0,4.4,4.4,4.714,518.8276000000001,-36.09159999999997,241.36800000000005
4.8,6.0,5.2,3.759,309.1349,-251.88519999999994,28.624850000000038
7.0,6.0,4.8,3.17,632.2375,22.140999999999963,327.18924999999996
4.4,4.8,5.6,4.563,679.9361,79.4805,379.7083
7.0,5.6,3.6,4.271,520.4399000000001,-63.97990000000004,228.23000000000002
8.0,5.2,4.0,3.759,318.9145,-113.64979999999991,102.63235000000003
8.0,6.0,4.8,3.0,874.7024,154.88530000000003,514.79385
8.0,5.6,5.2,2.963,788.1501000000001,117.98080000000004,453.06545000000006
5.2,7.0,4.8,3.45,550.3591,-84.38660000000004,232.98624999999998
7.0,4.4,5.6,3.513,442.0629,-55.90719999999999,193.07785
5.2,5.2,4.4,4.516,550.6206999999999,-19.436699999999973,265.592
7.0,6.0,5.6,2.897,955.3661,211.8437,583.6049
7.0,6.0,5.2,3.017,810.5329,110.67489999999998,460.6039
7.0,7.0,4.8,2.947,1118.7844,327.39300000000003,723.0887
5.2,7.0,5.2,3.269,585.0715,-58.27449999999999,263.3985
6.0,6.0,4.8,3.429,381.46619999999996,-130.6377,125.41424999999998
6.0,5.6,3.6,4.755,677.1832999999999,54.92470000000003,366.054
7.0,4.8,4.8,3.652,209.47900000000004,-248.15699999999993,-19.338999999999942
7.0,5.2,5.6,3.129,479.9156,1.8233999999999924,240.8695
8.0,5.6,4.8,3.111,609.0543,8.586500000000001,308.8204
4.0,5.6,5.6,4.421,378.547,-43.262699999999995,167.64215000000002
8.0,5.2,5.2,3.089,561.4875,15.259599999999978,288.37354999999997
6.0,7.0,4.4,3.372,590.0424,-31.610599999999977,279.21590000000003
5.6,7.0,4.0,3.818,490.4948,-73.2423,208.62625
8.0,4.4,5.6,3.306,704.3273,49.72220000000004,377.02475000000004
7.0,4.4,4.0,4.69,523.6882,-32.23919999999998,245.72450000000003
6.0,7.0,5.6,2.897,814.867,166.7604,490.8137
6.0,7.0,3.6,4.065,546.2479000000001,36.90440000000001,291.57615000000004
6.0,6.0,4.0,4.0,376.15830000000005,-158.2258999999999,108.96620000000007
4.0,7.0,4.8,4.308,827.1997,118.00810000000001,472.6039
7.0,6.0,4.4,3.372,467.7202,-63.08969999999999,202.31525
8.0,6.0,3.6,3.789,679.7252,83.0394,381.3823
6.0,5.6,4.8,3.574,328.7265,-152.615,88.05574999999999
4.8,5.6,4.8,4.2,408.70140000000004,-156.9176,125.89190000000002
6.0,7.0,4.8,3.17,718.6201,20.59209999999996,369.60609999999997
8.0,4.0,4.4,4.328,479.8389,-91.4380000000001,194.20044999999996
6.0,4.8,5.6,3.574,526.8442,-130.06050000000005,198.39184999999998
5.6,5.2,4.0,4.707,656.4168999999999,37.488899999999944,346.95289999999994
6.0,6.0,4.4,3.667,321.23839999999996,-178.6011000000001,71.31864999999993
5.6,6.0,3.6,4.755,634.3681,7.9874999999999545,321.1778
5.6,5.6,5.6,3.36,443.6162,-53.63099999999997,194.9926
4.4,5.2,5.6,4.252,388.313,-42.025499999999965,173.14375
6.0,3.6,5.6,4.755,709.6278,88.96040000000005,399.2941
5.6,4.8,4.8,4.2,355.1037,-141.50620000000004,106.79874999999998
4.8,6.0,5.6,3.574,364.19269999999995,-185.79819999999995,89.19725
8.0,4.8,4.0,4.0,396.3728,-112.47749999999996,141.94765
7.0,4.4,4.4,4.239,309.7269,-176.13570000000004,66.79559999999998
5.6,5.6,5.2,3.523,280.79740000000004,-149.39740000000006,65.69999999999999
5.2,4.8,5.6,3.935,512.8897,-88.03009999999995,212.4298
7.0,7.0,5.2,2.814,1196.3755,388.8057,792.5906
5.2,4.4,5.6,4.252,594.5409999999999,-21.85080000000005,286.34509999999995
6.0,5.2,4.4,4.047,407.0457,-116.25099999999998,145.39735000000002
8.0,5.2,4.4,3.463,300.49879999999996,-137.1590000000001,81.66989999999993
4.0,7.0,4.4,4.69,974.113,227.73339999999996,600.9232
7.0,4.8,4.0,4.308,442.2778,-91.44939999999997,175.41420000000002
4.8,4.4,5.6,4.563,780.1852,91.27149999999995,435.72835
5.6,5.6,4.8,3.733,230.91570000000002,-164.4293,33.2432
8.0,5.6,5.6,2.847,972.2326,231.73350000000005,601.98305
5.6,5.2,5.6,3.523,477.4663,-99.72939999999994,188.86845000000002
4.4,5.6,5.6,4.017,242.9864,-129.5150000000001,56.73569999999995
4.8,5.6,5.6,3.733,266.00440000000003,-154.84789999999998,55.578250000000025
7.0,4.8,5.2,3.45,211.60839999999996,-179.5048999999999,16.051750000000027
7.0,5.2,3.6,4.537,607.1895,-23.153299999999945,292.0181
8.0,5.2,3.6,4.197,515.5901,-16.79589999999996,249.39710000000002
4.4,5.6,4.8,4.563,565.4223999999999,-72.00779999999997,246.70729999999998
4.8,7.0,5.6,3.294,679.9087,-8.869599999999991,335.51955
4.8,7.0,4.0,4.308,732.4861,97.18719999999996,414.83664999999996
6.0,4.8,5.2,3.759,350.4158,-229.0531000000001,60.68134999999995
4.0,6.0,5.6,4.2,359.3378,-75.81880000000001,141.7595
7.0,5.6,4.4,3.513,346.14959999999996,-171.1344999999999,87.50755000000004
5.2,6.0,4.4,4.047,305.6784,-135.4106999999999,85.13385000000005
8.0,5.2,5.6,2.963,795.9458999999999,133.5222,464.73404999999997
5.6,4.8,5.6,3.733,504.5554,-126.72849999999994,188.91345000000004
4.8,4.8,5.6,4.2,567.7703,-10.446100000000001,278.6621
6.0,7.0,5.2,3.017,768.4745,90.53110000000004,429.50280000000004
7.0,4.4,5.2,3.691,216.57590000000005,-177.9142999999999,19.330800000000067
6.0,5.2,4.0,4.457,578.563,-1.578800000000001,288.4921
8.0,7.0,3.6,3.476,1234.8997,423.17089999999996,829.0353
4.8,7.0,4.4,3.924,593.8446,28.712200000000053,311.27840000000003
8.0,4.8,5.6,3.111,701.0661,75.2885,388.1773
3.6,7.0,5.2,4.537,863.7705,173.44690000000003,518.6087
8.0,4.0,4.8,4.0,457.2602,-130.54050000000007,163.35984999999997
3.6,7.0,5.6,4.271,814.9518,169.65030000000002,492.30105000000003
8.0,4.0,5.6,3.574,739.3326,80.29489999999998,409.81374999999997
8.0,4.4,4.4,3.94,370.8523,-160.13110000000006,105.36059999999998
8.0,3.6,5.6,3.969,812.0998999999999,165.6726,488.88624999999996
6.0,4.4,5.6,3.834,463.8053,-124.97859999999991,169.41335000000004
4.0,7.0,5.2,4.03,681.0545999999999,56.141899999999964,368.59824999999995
6.0,6.0,3.6,4.5,591.5417,-40.61850000000004,275.4616
5.6,7.0,5.2,3.129,614.019,-1.874900000000025,306.07205
5.2,4.0,5.6,4.707,683.1614999999999,81.36850000000004,382.265
8.0,3.6,4.8,4.5,607.7746,2.523900000000026,305.14925
5.6,5.6,4.0,4.421,465.7968,-41.25210000000004,212.27235
4.4,7.0,4.0,4.69,919.7242,219.6264,569.6753
7.0,3.6,5.6,4.271,811.1109,134.0312,472.57105
7.0,3.6,5.2,4.537,619.9253,34.23230000000001,327.0788
4.8,6.0,4.0,4.8,678.1421,77.53650000000005,377.83930000000004
5.2,5.2,4.8,4.16,364.029,-124.86300000000006,119.58299999999997
4.4,6.0,4.8,4.328,516.8017,-110.04790000000003,203.37689999999998
4.8,5.6,4.4,4.563,595.5687,-12.460100000000011,291.5543
4.4,7.0,5.6,3.513,640.6649,10.941900000000032,325.8034
6.0,4.8,4.4,4.328,488.8623,-88.0476000000001,200.40734999999995
5.2,5.2,5.6,3.702,394.58860000000004,-113.8001999999999,140.39420000000007
6.0,7.0,4.0,3.652,474.7779,-29.37919999999997,222.69935
4.8,6.0,4.8,4.0,386.69960000000003,-195.25209999999993,95.72375000000005
7.0,4.4,4.8,3.924,195.70479999999998,-234.3366000000001,-19.315900000000056
8.0,4.8,4.4,3.667,296.6431,-165.22340000000008,65.70984999999996
4.4,6.0,5.6,3.834,303.413,-172.86419999999998,65.27440000000001
4.4,6.0,4.4,4.714,737.5343,46.34609999999998,391.9402
7.0,5.6,5.2,3.129,562.3393,-25.147000000000048,268.59614999999997
8.0,4.8,4.8,3.429,321.9524,-142.82799999999997,89.56220000000002
6.0,4.0,5.6,4.2,488.8015,-40.65470000000005,224.07339999999996
7.0,5.2,5.2,3.269,331.8058,-120.8762999999999,105.46475000000004
4.0,5.6,5.2,4.707,460.0733,-46.22720000000004,206.92305
8.0,4.0,5.2,3.759,525.7315,-55.37639999999999,235.17755
5.6,4.8,5.2,3.935,343.59619999999995,-204.8859,69.35514999999998
5.6,4.8,4.4,4.563,555.5062,-24.17319999999995,265.66650000000004
7.0,4.0,5.2,4.03,345.98519999999996,-95.60400000000004,125.19059999999996
5.6,5.2,4.8,3.935,309.5439,-166.3049000000001,71.61949999999996
4.0,5.2,5.6,4.707,575.9181,38.85919999999999,307.38865
7.0,7.0,5.6,2.71,1245.9763,432.15049999999997,839.0634
7.0,4.0,4.4,4.69,410.6015,-70.51440000000002,170.04354999999998
7.0,5.2,4.0,4.03,391.5819,-159.99929999999995,115.79130000000004
5.2,6.0,5.2,3.545,288.19550000000004,-210.12210000000005,39.036699999999996
7.0,5.6,4.0,3.818,360.77139999999997,-176.12220000000002,92.32459999999998
6.0,4.0,5.2,4.457,293.1559,-116.3768,88.38954999999999
8.0,5.6,3.6,3.969,495.4542,11.340599999999995,253.3974
7.0,4.8,5.6,3.294,383.5762,-50.38199999999995,166.5971
7.0,4.0,5.6,3.818,593.2714000000001,13.00890000000004,303.14015000000006
6.0,6.0,5.6,3.111,658.8535999999999,41.04539999999997,349.94949999999994
5.2,6.0,5.6,3.381,418.9385,-126.60529999999994,146.16660000000002
7.0,6.0,4.0,3.652,414.30740000000003,-101.48620000000005,156.4106
4.4,7.0,4.4,4.239,767.5849000000001,123.18799999999999,445.38645
8.0,6.0,5.2,2.862,1023.316,259.32989999999995,641.32295
4.4,6.0,5.2,4.047,317.44090000000006,-202.34519999999998,57.54785000000004
7.0,7.0,3.6,3.706,976.7313,219.17100000000005,597.9511500000001
6.0,5.6,5.6,3.231,589.6016,-5.251600000000053,292.17499999999995
5.2,5.6,5.6,3.523,342.4103,-121.40509999999995,110.50260000000003
4.8,7.0,4.8,3.652,578.0277,-41.85820000000001,268.08475
5.6,5.2,5.2,3.702,326.4434,-191.83870000000002,67.30234999999999
5.2,6.0,4.0,4.457,460.4494,-31.98479999999995,214.23230000000004
6.0,5.6,4.4,3.834,305.88070000000005,-134.93360000000007,85.47354999999999
4.4,7.0,5.2,3.691,617.4818,-29.03150000000005,294.22515
5.2,4.8,4.8,4.457,485.1968,-61.61469999999997,211.79105
5.6,7.0,4.4,3.513,522.1713,-97.61660000000006,212.27734999999996
5.2,4.4,5.2,4.516,497.4301,-73.6753,211.8774
8.0,4.8,3.6,4.5,637.3498,8.913699999999949,323.13174999999995
8.0,7.0,4.0,3.17,1229.5735,418.10029999999995,823.8369
7.0,5.6,5.6,3.0,712.6715,88.81590000000006,400.74370000000005
5.6,6.0,4.8,3.574,244.17920000000004,-165.70319999999992,39.238000000000056
8.0,5.2,4.8,3.25,391.5018,-81.06619999999998,155.2178
5.2,5.6,5.2,3.702,236.46810000000005,-205.4652000000001,15.501449999999977
4.0,7.0,5.6,3.818,643.5372,78.21939999999995,360.87829999999997
4.8,5.2,5.2,4.16,348.6264,-142.06549999999993,103.28045000000003
5.2,5.2,5.2,3.9,299.2845,-181.1708000000001,59.05684999999994
4.8,7.0,5.2,3.45,606.4796,-68.29510000000005,269.09225
5.2,5.6,4.0,4.707,590.4982,29.03729999999996,309.76775
4.4,5.2,5.2,4.516,465.7127,-72.23289999999997,196.7399
5.2,7.0,5.6,3.129,656.0235,23.473499999999945,339.7485
7.0,5.6,4.8,3.294,433.798,-105.72469999999998,164.03665
8.0,7.0,5.2,2.68,1316.3253,497.7247,907.025
8.0,6.0,4.0,3.429,623.6052,31.223299999999995,327.41425
6.0,4.8,4.8,4.0,332.5073,-194.12709999999993,69.19010000000003
4.8,5.2,4.8,4.457,521.4245000000001,-63.953700000000026,228.73540000000003
8.0,5.6,4.4,3.306,454.0843,-72.0661,191.0091
5.6,7.0,5.6,3.0,659.9454000000001,89.8895,374.91745000000003
7.0,7.0,4.0,3.36,957.6465,202.38879999999995,580.01765
5.6,4.4,5.2,4.252,300.6557,-161.54009999999994,69.55780000000004
5.6,4.4,4.8,4.563,354.06690000000003,-89.66429999999991,132.20130000000006
4.0,6.0,5.2,4.457,406.54729999999995,-70.60170000000005,167.97279999999995
8.0,4.4,4.8,3.667,373.32770000000005,-179.6806999999999,96.82350000000008
8.0,7.0,5.6,2.585,1336.0801000000001,516.4235,926.2518
5.2,7.0,4.0,4.03,595.3257,-25.55510000000004,284.8853
6.0,4.8,4.0,4.8,734.5165,60.545799999999986,397.53114999999997
6.0,5.6,5.2,3.381,426.00519999999995,-113.6210000000001,156.19209999999993
6.0,5.2,5.2,3.545,405.4136,-183.35570000000007,111.02894999999995
5.6,4.4,5.6,4.017,469.9104,-93.15390000000002,188.37824999999998
6.0,5.2,4.8,3.759,350.5771,-185.59490000000005,82.49109999999996
5.2,5.6,4.4,4.252,388.90279999999996,-91.05189999999993,148.92545
8.0,3.6,5.2,4.197,628.9664,64.58939999999996,346.7779
4.8,4.8,5.2,4.457,553.8498,-42.05679999999995,255.8965
7.0,6.0,3.6,4.065,522.3507,-21.183700000000044,250.58349999999996
8.0,4.0,4.0,4.8,588.1223,34.3374,311.22985
4.8,5.2,5.6,3.935,343.1423,-89.0782999999999,127.03200000000004
8.0,5.6,4.0,3.574,377.5064,-68.44780000000003,154.52929999999998
5.6,6.0,4.4,3.834,250.36379999999997,-179.1947,35.58454999999998
