C1,C2,C3,C4,upper_bound,lower_bound,mean_bound
4.8,5.6,5.2,3.935,257.8683,-224.2107000000001,16.828799999999944
6.0,4.4,4.8,4.328,271.89,-155.6042,58.1429
5.6,7.0,4.8,3.294,593.7903,-67.95079999999996,262.91975
7.0,5.2,4.8,3.45,284.67740000000003,-193.2726,45.70240000000001
5.6,5.2,4.4,4.252,435.6499,-85.07459999999992,175.28765000000004
8.0,7.0,4.8,2.8,1286.0113999999999,469.7823,877.89685
5.6,6.0,5.2,3.381,318.813,-120.07670000000007,99.36814999999996
3.6,6.0,5.6,4.755,635.7748,61.566400000000044,348.67060000000004
6.0,4.4,5.2,4.047,258.38530000000003,-210.94759999999997,23.71885000000003
7.0,5.2,4.4,3.691,298.4054,-214.78269999999998,41.811350000000004
5.2,7.0,4.4,3.691,524.2863,-69.8012,227.24255
5.6,4.0,5.6,4.421,493.6279,5.606999999999971,249.61745
5.2,6.0,4.8,3.759,263.98969999999997,-203.7032999999999,30.143200000000036
4.0,6.0,4.8,4.8,665.8377,33.254999999999995,349.54635
5.6,5.6,4.4,4.017,289.06910000000005,-129.12220000000002,79.97345000000001
8.0,4.4,5.2,3.463,474.8662,-95.60519999999997,189.6305
8.0,6.0,5.6,2.754,1145.3825,351.42560000000003,748.40405
8.0,4.8,5.2,3.25,454.3632,-52.942800000000034,200.7102
6.0,6.0,5.2,3.25,494.0153,-57.45830000000001,218.2785
8.0,6.0,4.4,3.181,719.7938,62.08479999999997,390.9393
5.2,5.6,4.8,3.935,268.27570000000003,-179.30089999999996,44.48740000000004
5.2,4.8,5.2,4.16,412.9374,-140.8248000000001,136.05629999999996
6.0,5.6,4.0,4.2,419.86469999999997,-68.13049999999998,175.8671
4.4,7.0,4.8,3.924,676.0956,22.587599999999952,349.34159999999997
5.6,4.0,5.2,4.707,352.01300000000003,-61.13340000000005,145.4398
7.0,7.0,4.4,3.122,1022.4194,252.76919999999996,637.5943
5.2,7.0,3.6,4.537,782.3937,83.32460000000003,432.85915
4.8,6.0,4.4,4.328,505.3304,-65.2541,220.03815
